Breakdown,ttm,3/31/2018,3/31/2017
Net Income,456242,671330,159356
Depreciation & amortization,-,10304,15257
Change in working capital,-5421710,-5141719,1660227
Other working capital,-5250097,-4834795,1170662
Other non-cash items,20513,155824,154945
Net cash provided by operating activites,-5242677,-4827375,1171350
Investments in property plant and equipment,-,-7420,-688
Acquisitions net,-,-32002,-49917
Purchases of investments,-,-784735,-
Sales/Maturities of investments,-,70000,-
Other investing activites,-,45628,-
Net cash used for investing activites,-642952,-542850,-44581
Net change in cash,272791,1263655,-103450
Cash at beginning of period,393383,220544,327621
Cash at end of period,666174,1555133,220544
Operating Cash Flow,-5242677,-4827375,1171350
Capital Expenditure,-,-7420,-688
Free Cash Flow,-5250097,-4834795,1170662
