Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,41978,41969,96496,18383
Depreciation & amortization,-,29000,31382,28877
Change in working capital,-,-20208,-38153,22623
Inventory,-,16509,-21234,-35731
Other working capital,86071,16877,101342,61543
Other non-cash items,-,11042,8663,26131
Net cash provided by operating activites,94441,26612,121279,90134
Investments in property plant and equipment,-8370,-9735,-19937,-28591
Acquisitions net,-,0,-10802,-
Purchases of investments,-482137,-85376,-64109,-62332
Sales/Maturities of investments,487963,100324,50049,129388
Other investing activites,33584,20607,35897,-38482
Net cash used for investing activites,3217,22654,-5038,3343
Net change in cash,-57085,-22938,24493,126372
Cash at beginning of period,229334,257513,250414,121867
Cash at end of period,172249,232294,257513,250414
Operating Cash Flow,94441,26612,121279,90134
Capital Expenditure,-8370,-9735,-19937,-28591
Free Cash Flow,86071,16877,101342,61543
