Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,134874,134874,146260,142428,11832
Depreciation & amortization,-,-,109678,116520,107293
Change in working capital,-,-,-181352,-66400,-60975
Inventory,-,-,-156639,-66756,-10444
Other working capital,368736,368736,-150365,129914,19400
Other non-cash items,-,-,15445,17740,17409
Net cash provided by operating activites,368736,368736,205729,335782,121946
Investments in property plant and equipment,-,-,-356094,-205868,-102546
Acquisitions net,-,-,-,-,0
Purchases of investments,-,-,0,-45000,-38000
Sales/Maturities of investments,-,-,45000,38000,69357
Other investing activites,-,-,-458,3361,12009
Net cash used for investing activites,-420080,-420080,-302546,-204293,-56257
Net change in cash,-22596,-22596,-349633,168732,125373
Cash at beginning of period,505091,505091,854984,685327,560246
Cash at end of period,481210,481210,505091,854984,685327
Operating Cash Flow,368736,368736,205729,335782,121946
Capital Expenditure,-,-,-356094,-205868,-102546
Free Cash Flow,368736,368736,-150365,129914,19400
