Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,6/30/2016
Investments in property plant and equipment,-207.119,-207.119,-5927,-162.07,-252.124
Acquisitions net,-,-,-,-1943,-
Purchases of investments,7.763,7.763,-567,-,-
Other investing activites,-,-,-,-6.011,-
Net cash used for investing activites,-199.356,-199.356,-5831,-2111,-250.206
Debt repayment,-3124,-3124,-,-124.481,-
Common stock issued,-,-,-,-,13000
Common stock repurchased,873.696,873.696,-,-,-2275
Dividends Paid,-1935,-1935,-7095,-7740,-23058
Net cash used privided by (used for) financing activities,-0.386,-0.386,1256,-7691,-12333
Net change in cash,7662,7662,2022,-6056,-4340
Cash at beginning of period,3875,3875,1489,8172,13885
Cash at end of period,11402,11402,3875,1489,9922
Capital Expenditure,-207.119,-207.119,-5927,-162.07,-252.124
Free Cash Flow,7655,7655,670.184,3584,7991
