Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,10673000,10673000,12335000,10516000,10151000
Depreciation & amortization,599000,599000,667000,874000,834000
Change in working capital,18605000,18605000,-4894000,-26566000,-21005000
Inventory,23569000,23569000,-10940000,-21642000,-22080000
Other working capital,20140000,20140000,5193000,-39854000,-37279000
Other non-cash items,2021000,2021000,26000,4640000,-3268000
Net cash provided by operating activites,30987000,30987000,7739000,-12549000,-14597000
Investments in property plant and equipment,-10847000,-10847000,-2546000,-27305000,-22682000
Acquisitions net,-161000,-161000,-11574000,-3362000,-2085000
Purchases of investments,-5010000,-5010000,-296000,-5702000,-677000
Sales/Maturities of investments,1423000,1423000,58000,3080000,8000
Other investing activites,-517000,-517000,1557000,1872000,1136000
Net cash used for investing activites,-6564000,-6564000,4247000,-2584000,-809000
Net change in cash,3995000,3995000,6948000,5827000,-4673000
Cash at beginning of period,55277000,55277000,49050000,43338000,48553000
Cash at end of period,58390000,58390000,55277000,49050000,43338000
Operating Cash Flow,30987000,30987000,7739000,-12549000,-14597000
Capital Expenditure,-10847000,-10847000,-2546000,-27305000,-22682000
Free Cash Flow,20140000,20140000,5193000,-39854000,-37279000
