Breakdown,ttm,12/31/2019,12/31/2018
Net Income,384609,384609,198487
Depreciation & amortization,-,-,14125
Change in working capital,-,-,109846
Inventory,-,-,-3236
Other working capital,-,-,345177
Other non-cash items,-,-,14976
Net cash provided by operating activites,-,-,386914
Investments in property plant and equipment,-,-,-41737
Other investing activites,-,-,-11963
Net cash used for investing activites,-,-,-53700
Net change in cash,-,-,970391
Cash at beginning of period,-,-,257030
Cash at end of period,-,-,1227422
Operating Cash Flow,-,-,386914
Capital Expenditure,-,-,-41737
Free Cash Flow,-,-,345177
