Breakdown,ttm,12/31/2019
Net Income,-381226,-381226
Depreciation & amortization,96402,96402
Change in working capital,165173,165173
Inventory,-211,-211
Other working capital,346787,346787
Other non-cash items,68105,68105
Net cash provided by operating activites,513982,513982
Investments in property plant and equipment,-167195,-167195
Acquisitions net,-496636,-496636
Other investing activites,-104133,-104133
Net cash used for investing activites,-767964,-767964
Net change in cash,2821303,2821303
Cash at beginning of period,1656092,1656092
Cash at end of period,4477395,4477395
Operating Cash Flow,513982,513982
Capital Expenditure,-167195,-167195
Free Cash Flow,346787,346787
