Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,169006,89586,-293202,60742
Depreciation & amortization,-,295258,387365,365512
Change in working capital,-,160625,692398,364146
Inventory,-,459755,395726,190447
Other working capital,-,525902,493913,656083
Other non-cash items,-,64262,-16197,-38076
Net cash provided by operating activites,-,648220,611372,758999
Investments in property plant and equipment,-,-122318,-117459,-102916
Purchases of investments,-,-,-235976,-
Sales/Maturities of investments,-,-,231746,-
Other investing activites,-,-,-14875,-1300
Net cash used for investing activites,-,-122218,-77523,-104216
Net change in cash,-,-469521,1299838,-134820
Cash at beginning of period,-,1707545,407707,542528
Cash at end of period,-,1238024,1707545,407707
Operating Cash Flow,-,648220,611372,758999
Capital Expenditure,-,-122318,-117459,-102916
Free Cash Flow,-,525902,493913,656083
