Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-91600,-91600,-112700,-89100,-86500
Acquisitions net,-2700,-2700,-2100,-80200,-
Other investing activites,600,600,-1400,-2500,-1400
Net cash used for investing activites,-89000,-89000,-110900,-154100,-64700
Debt repayment,-,-,-,-,-21000
Common stock issued,4300,4300,2200,3500,4000
Dividends Paid,-97800,-97800,-188600,-156000,-178500
Other financing activites,-7500,-7500,-,-,-
Net cash used privided by (used for) financing activities,-81300,-81300,-97400,-34000,-195500
Net change in cash,22900,22900,36400,36100,-11800
Cash at beginning of period,93900,93900,57600,21500,33300
Cash at end of period,116800,116800,93900,57600,21500
Capital Expenditure,-91600,-91600,-112700,-89100,-86500
Free Cash Flow,101600,101600,132000,135100,161900
