Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-56.05,-41.489,-26.326,-65.08,-158.755
Sales/Maturities of investments,-,-,-,-,4800
Other investing activites,-,-41,-26,-65,4800
Net cash used for investing activites,-56.05,-41.489,-26.326,-65.08,4641
Debt repayment,-,-750,-,-,-
Common stock issued,-,7468,-,196.75,-
Net cash used privided by (used for) financing activities,-,7768,1200,196.75,-
Net change in cash,-5025,3313,-1365,-3926,1567
Cash at beginning of period,6956,157.643,1520,5416,3856
Cash at end of period,1931,3468,157.643,1520,5416
Capital Expenditure,-56.05,-41.489,-26.326,-65.08,-158.755
Free Cash Flow,-4532,-4454,-2565,-4123,-3233
