Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-158.47,-568.4941,-599.7569,-375.1885
Acquisitions net,-,-,-568.4941,-,-
Purchases of investments,-534.6088,-158.47,66.0262,-,-
Sales/Maturities of investments,-,654.6214,-,-,-
Net cash used for investing activites,-488.6797,496.1514,-502.4679,-599.7569,-375.1885
Common stock issued,-,-,1474,-,-
Common stock repurchased,-,-,-86.7447,-,-597.7471
Net cash used privided by (used for) financing activities,-,-,1387,-,-597.7471
Net change in cash,-1109,-263.5049,-244.6448,-1797,-2752
Cash at beginning of period,3284,3280,3547,5126,8403
Cash at end of period,2175,2769,3112,3408,5310
Capital Expenditure,-,-158.47,-568.4941,-599.7569,-375.1885
Free Cash Flow,-620.3088,-759.6564,-1129,-1797,-2154
