Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4700,-4344,-7175,-6624,-3657
Net cash used for investing activites,-4700,-4344,-7175,-6624,-3657
Debt repayment,-,-,-,-213.949,-786.051
Common stock issued,8861,3954,9470,14928,9543
Common stock repurchased,-680.393,-293.899,-1227,-485.895,-560.144
Net cash used privided by (used for) financing activities,7589,3661,8243,14229,8197
Net change in cash,-636.256,-3351,-3288,3842,2194
Cash at beginning of period,3151,3405,6732,2901,709.834
Cash at end of period,2514,55.498,3405,6732,2901
Capital Expenditure,-4700,-4344,-7175,-6624,-3657
Free Cash Flow,-8226,-7011,-11531,-10387,-6002
