Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,327000,327000,1092000,1114000,1356000
Depreciation & amortization,246000,246000,162000,141000,109000
Change in working capital,3329000,3329000,662000,-2789000,1907000
Other working capital,3723000,3723000,1477000,-1697000,3001000
Other non-cash items,179000,179000,103000,140000,400000
Net cash provided by operating activites,4051000,4051000,1765000,-1410000,3229000
Investments in property plant and equipment,-328000,-328000,-288000,-287000,-228000
Acquisitions net,-60000,-60000,-10000,-81000,-
Purchases of investments,-4937000,-4937000,-3276000,-1419000,-2477000
Sales/Maturities of investments,4689000,4689000,2392000,3499000,3386000
Other investing activites,-,-,-,-,0
Net cash used for investing activites,-579000,-579000,-1162000,1806000,723000
Net change in cash,5450000,5450000,209000,78000,2124000
Cash at beginning of period,7246000,7246000,7058000,7164000,5672000
Cash at end of period,12923000,12923000,7246000,7058000,7164000
Operating Cash Flow,4051000,4051000,1765000,-1410000,3229000
Capital Expenditure,-328000,-328000,-288000,-287000,-228000
Free Cash Flow,3723000,3723000,1477000,-1697000,3001000
