Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2424,-2292,-1281,-1737,-1012
Acquisitions net,-,-,-3.888,-,-
Net cash used for investing activites,-41599,-2265,-1284,-1737,-985.136
Debt repayment,-15.079,-13.316,-934.826,-,-
Common stock issued,36285,12679,13007,337.4,-35.701
Common stock repurchased,-1156,-684.218,-282.885,-2.343,-
Net cash used privided by (used for) financing activities,35114,11982,12094,3187,-35.701
Net change in cash,-11843,3635,7079,-0.725,-3656
Cash at beginning of period,15427,7488,412.089,418.529,4036
Cash at end of period,3584,11136,7488,412.089,418.529
Capital Expenditure,-2424,-2292,-1281,-1737,-1012
Free Cash Flow,-7782,-8374,-5011,-3188,-3647
