Breakdown,ttm,12/31/2019
Net Income,2873,2873
Change in working capital,1135,1135
Accounts Payable,-29.868,-29.868
Other working capital,-630.914,-630.914
Net cash provided by operating activites,-630.914,-630.914
Other investing activites,265.057,265.057
Net cash used for investing activites,265.057,265.057
Debt repayment,0,0
Common stock issued,0,0
Net cash used privided by (used for) financing activities,0,0
Net change in cash,-365.857,-365.857
Cash at beginning of period,886.279,886.279
Cash at end of period,520.422,520.422
Operating Cash Flow,-630.914,-630.914
Free Cash Flow,-630.914,-630.914
