Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-12.277,-48.784,-92.68
Acquisitions net,-,-,-,16.525,-
Other investing activites,-,-,15,-,-
Net cash used for investing activites,-4.618,1.06,2.723,-32.259,-92.68
Debt repayment,-,-150,-,-377.445,-
Common stock issued,-,1318,692.933,3500,1320
Common stock repurchased,-,-88.563,-51.028,-408.428,-82.003
Net cash used privided by (used for) financing activities,-,1229,971.905,2714,1329
Net change in cash,-258.204,407.297,-1380,593.661,1019
Cash at beginning of period,459.226,310.651,1691,1097,78.456
Cash at end of period,201.022,717.948,310.651,1691,1097
Capital Expenditure,-,-,-12.277,-48.784,-92.68
Free Cash Flow,-1338,-822.939,-2367,-2137,-310.262
