Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-31056,-21997,-14859,-13463,-18715
Net cash used for investing activites,-31056,-21997,-14859,-13463,-18500
Debt repayment,-3650,-5200,-14100,-7500,-15100
Dividends Paid,-13658,-12129,-4805,-1868,-
Net cash used privided by (used for) financing activities,-183,-17329,-14756,-6917,-5492
Net change in cash,-1051,-2316,8648,1322,1494
Cash at beginning of period,13116,11847,3462,2096,602
Cash at end of period,12065,9607,11847,3462,2096
Capital Expenditure,-31056,-21997,-14859,-13463,-18715
Free Cash Flow,-868,15013,23404,8239,6771
