Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-6082,-9892,-9688
Other investing activites,-,2969,-
Net cash used for investing activites,-3552,-6924,-9688
Common stock issued,-,288.753,27478
Common stock repurchased,-,-,-352.574
Net cash used privided by (used for) financing activities,-,288.753,27126
Net change in cash,-1479,-7969,16095
Cash at beginning of period,12177,19158,3063
Cash at end of period,10697,11188,19158
Capital Expenditure,-6082,-9892,-9688
Free Cash Flow,-7087,-11227,-11031
