Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-3.466,-1797,-32.515,-405.906
Purchases of investments,-,-587.722,-614.435,-406.599,-3301
Other investing activites,-,288.614,10,-,309.064
Net cash used for investing activites,-1933,-195.433,-2402,-439.114,-3398
Debt repayment,-,-189.945,174.591,-,-
Common stock issued,7929,5221,4310,1484,4925
Common stock repurchased,-676.224,-384.34,-158.625,-,-
Other financing activites,-,-10,-,-,-
Net cash used privided by (used for) financing activities,7124,5237,4326,1464,4973
Net change in cash,1080,663.53,599.981,-193.88,40.556
Cash at beginning of period,518.227,708.966,108.985,302.865,262.309
Cash at end of period,1599,1372,708.966,108.985,302.865
Capital Expenditure,-,-3.466,-1797,-32.515,-405.906
Free Cash Flow,-4238,-4378,-3122,-1252,-1940
