Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1228,-1145,-675.794,-1307,-451.502
Acquisitions net,-129.321,-197.087,-,-,-
Purchases of investments,-,-,-,-221.748,-170.196
Net cash used for investing activites,-1357,-1342,-675.794,-1529,-621.698
Debt repayment,2256,3140,-1508,-3991,-222.297
Net cash used privided by (used for) financing activities,-414.859,-672.852,427.789,-490.904,-222.297
Net change in cash,-469.61,-1251,-949.085,-2090,1643
Cash at beginning of period,1961,1279,2185,4343,2632
Cash at end of period,1491,1017,1279,2185,4343
Capital Expenditure,-1228,-1145,-675.794,-1307,-451.502
Free Cash Flow,74.57,-381.021,-1377,-1377,2036
