Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-171.112,-241.107,-1110,-449.785,-66.123
Acquisitions net,-,594.258,-200,-2075,-
Purchases of investments,-,-600,-,-,-
Other investing activites,-,-75,-608.182,-,-150
Net cash used for investing activites,-349.791,-321.849,-1718,-2514,-216.123
Debt repayment,-,-44.352,-,-8.356,-
Common stock issued,-,8400,1920,5800,437.643
Common stock repurchased,-,-277.2,-146.349,-384.7,-
Other financing activites,-,-,-,-,8.618
Net cash used privided by (used for) financing activities,10495,8328,2874,5407,446.261
Net change in cash,2545,1575,-1181,2049,64.169
Cash at beginning of period,1161,1022,2203,153.978,518.987
Cash at end of period,3707,2597,1022,2203,583.146
Capital Expenditure,-171.112,-241.107,-1110,-449.785,-66.123
Free Cash Flow,-7771,-6672,-3446,-1294,-232.092
