Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-3058,-2510,-32.571,-776.501
Purchases of investments,-,-,-1000,-2100,-
Net cash used for investing activites,-451.23,-3058,-3510,-2122,-776.501
Debt repayment,-,-,-,-,430.775
Common stock issued,-,5485,3987,3085,4184
Common stock repurchased,-,-,-,-65.53,-264.448
Net cash used privided by (used for) financing activities,354.241,5512,4127,3026,4350
Net change in cash,-2552,-93.506,262.727,-918.379,751.041
Cash at beginning of period,2596,636.762,374.035,1292,541.373
Cash at end of period,44.4,543.256,636.762,374.035,1292
Capital Expenditure,-,-3058,-2510,-32.571,-776.501
Free Cash Flow,-2909,-5605,-2864,-1855,-3599
