Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-20.002,-28.362,-26.03,-86.243,-113.694
Acquisitions net,-,-,-,-28.995,-12.076
Other investing activites,-,-38.669,-,-34.432,-
Net cash used for investing activites,28.892,142.882,-26.03,-149.67,-125.77
Debt repayment,-,-,-1014,-,-
Common stock issued,7969,4726,3000,-,40
Common stock repurchased,-467.625,-263.247,-120,-,-377.304
Other financing activites,-,-,-,1124,1861
Net cash used privided by (used for) financing activities,7466,4524,1866,1124,1524
Net change in cash,-863.076,-2260,-3942,2888,-665.688
Cash at beginning of period,3928,4232,8202,5601,6234
Cash at end of period,3065,2047,4232,8202,5601
Capital Expenditure,-20.002,-28.362,-26.03,-86.243,-113.694
Free Cash Flow,-8378,-6955,-5808,1827,-2178
