Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-16177,-16177,-19574,-12089,-4428
Purchases of investments,-,-,-,-119,-
Net cash used for investing activites,-16099,-16099,-19260,-11573,-4245
Debt repayment,-4503,-4503,-493,-27259,-1514
Common stock issued,-,-,-,18398,-
Common stock repurchased,-21,-21,-46,-395,-
Dividends Paid,-2625,-2625,-1772,-1862,-
Net cash used privided by (used for) financing activities,-7149,-7149,-2311,-5818,1486
Net change in cash,345,345,5096,-3395,3702
Cash at beginning of period,7712,7712,2616,6011,2309
Cash at end of period,8057,8057,7712,2616,6011
Capital Expenditure,-16177,-16177,-19574,-12089,-4428
Free Cash Flow,7416,7416,7093,1907,2033
