Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-8841,-17390,-13369,-6340,-28.818
Other investing activites,-,-2115,-1963,2,-
Net cash used for investing activites,-10963,-19505,-15333,-6338,-15.091
Common stock issued,-,15190,33576,6765,438
Common stock repurchased,-,-1066,-1137,-364.515,-30.5
Net cash used privided by (used for) financing activities,-,14124,32439,6400,407.5
Net change in cash,1211,-7586,15147,-859.228,50.052
Cash at beginning of period,909.523,16337,1189,2048,1998
Cash at end of period,2121,8751,16337,1189,2048
Capital Expenditure,-8841,-17390,-13369,-6340,-28.818
Free Cash Flow,-10801,-19595,-15329,-7262,-371.175
