Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-5105,-5105,-22776
Other investing activites,-7500,-7500,-
Net cash used for investing activites,-12605,-12605,-22776
Debt repayment,-,-3519,-
Common stock issued,10300,10300,49501
Common stock repurchased,-159,-159,-2415
Other financing activites,-,-,-500
Net cash used privided by (used for) financing activities,35141,35141,46586
Net change in cash,-8726,-8726,8311
Cash at beginning of period,8832,8832,214
Cash at end of period,277,277,8832
Capital Expenditure,-5105,-5105,-22776
Free Cash Flow,-36367,-36367,-38275
