Breakdown,ttm,12/31/2019,12/31/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1342,-1342,-42.5177,-27.636,-206.257
Acquisitions net,-,-,-,587.066,-
Purchases of investments,-,-,-,-66.643,-16.133
Sales/Maturities of investments,-,-,-,-,55.92
Other investing activites,-,-,-,587.066,-
Net cash used for investing activites,-1342,-1342,-36.9991,492.787,-166.242
Common stock issued,1440,1440,-,772.206,482.629
Common stock repurchased,-91.4345,-91.4345,-,-59.777,-48.232
Other financing activites,-1421,-1421,-523.5903,-,-
Net cash used privided by (used for) financing activities,-72.4079,-72.4079,-523.5903,712.429,434.397
Net change in cash,-303.5841,-303.5841,-1033,916.822,-294.571
Cash at beginning of period,1219,1219,2278,457.054,751.625
Cash at end of period,914.7459,914.7459,1210,1346,457.054
Capital Expenditure,-1342,-1342,-42.5177,-27.636,-206.257
Free Cash Flow,-231.1761,-231.1761,-515.2961,-316.03,-768.983
