Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,18162067,18162067,12862026,11010776,8033556
Depreciation & amortization,2819935,2819935,2981790,4246152,4253871
Change in working capital,11466966,11466966,-5729508,-81005792,-22948687
Other working capital,50980388,50980388,28232576,-44046054,18735614
Other non-cash items,1222702,1222702,-2216816,-1436267,-699223
Net cash provided by operating activites,55374041,55374041,30250512,-40783371,23242852
Investments in property plant and equipment,-4393653,-4393653,-2017936,-3262683,-4507238
Purchases of investments,-151849513,-151849513,-101039474,-74567324,-35783048
Sales/Maturities of investments,118647370,118647370,87253691,58471162,29962323
Net cash used for investing activites,-30138449,-30138449,-10594165,-14478124,-7025251
Cash at beginning of period,60335451,60335451,47183948,103123670,102707171
Cash at end of period,71936023,71936023,60349122,47183948,103123670
Operating Cash Flow,55374041,55374041,30250512,-40783371,23242852
Capital Expenditure,-4393653,-4393653,-2017936,-3262683,-4507238
Free Cash Flow,50980388,50980388,28232576,-44046054,18735614
