Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1132,-1132,-781.381,-19287,-6723
Other investing activites,-,-,646.604,3588,1960
Net cash used for investing activites,-1132,-1132,-134.777,-15698,-4763
Dividends Paid,-980.406,-980.406,-735.306,-735.306,-735.306
Other financing activites,-,-,-,1250,1750
Net cash used privided by (used for) financing activities,-980.406,-980.406,-735.306,514.694,1015
Net change in cash,1803,1803,1015,-8219,-926.8
Cash at beginning of period,13076,13076,12061,20280,21207
Cash at end of period,14879,14879,13076,12061,20280
Capital Expenditure,-1132,-1132,-781.381,-19287,-6723
Free Cash Flow,2783,2783,1104,-12322,-3901
