Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-270.778,-133.211,-46.787,-42.981
Purchases of investments,-,-6.422,-,-
Net cash used for investing activites,-276.541,-136.013,-46.787,-42.981
Debt repayment,-,-,-,-190.685
Common stock issued,7255,6811,3310,6000
Common stock repurchased,-68.403,-462.96,-220.285,-766.95
Other financing activites,-,-,-,-34.013
Net cash used privided by (used for) financing activities,7186,6348,3090,5058
Net change in cash,1241,-271.617,81.205,2651
Cash at beginning of period,6862,3115,3034,383.264
Cash at end of period,8102,2844,3115,3034
Capital Expenditure,-270.778,-133.211,-46.787,-42.981
Free Cash Flow,-5940,-6616,-3009,-2407
