Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-27200,-16200,-18300,-12900,-14500
Purchases of investments,-84600,-67300,-59100,-54600,-13900
Other investing activites,66600,44100,45000,48300,-
Net cash used for investing activites,-42600,-36600,-29100,-18300,-27400
Debt repayment,-,-300000,-,125300,-9200
Common stock issued,-,-,55800,64500,-
Common stock repurchased,-,-,-6500,-300,-600
Dividends Paid,-292600,-288700,-251800,-217300,-237800
Other financing activites,-,1200,1400,2100,1600
Net cash used privided by (used for) financing activities,-597100,-315300,-200600,-25700,-246000
Net change in cash,458900,-145900,121900,14400,18800
Cash at beginning of period,1961400,1067900,946000,987100,994600
Cash at end of period,2420300,922000,1067900,1001500,1013400
Capital Expenditure,-27200,-16200,-18300,-12900,-14500
Free Cash Flow,1071400,189800,333300,45500,277700
