Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,3457,-26.799,-564.305,-462.566,-
Acquisitions net,-,-9941,-,-100,-
Purchases of investments,-,-,-,-50,-100
Sales/Maturities of investments,-,-,-,-200,-272.563
Other investing activites,-,-,-150,-,-
Net cash used for investing activites,-3660,-6749,85.695,-612.566,-372.563
Debt repayment,-,-,-,-,-458.369
Common stock issued,7427,9138,10057,7716,7259
Common stock repurchased,-278.713,-308.705,-546.553,-139.625,-1101
Other financing activites,-,-,5,-,-
Net cash used privided by (used for) financing activities,6582,8830,9516,7576,5700
Net change in cash,2398,-1004,-1810,831.495,2003
Cash at beginning of period,301.059,1457,3267,2436,432.387
Cash at end of period,2699,453.104,1457,3267,2436
Capital Expenditure,3457,-26.799,-564.305,-462.566,-
Free Cash Flow,2933,-3111,-11976,-6595,-3324
