Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Investments in property plant and equipment,-19178,-19178,-21591,-14004,-18276
Purchases of investments,-13602,-13602,-5568,-,-
Net cash used for investing activites,-32769,-32769,-22254,-13998,-10961
Common stock issued,1620,1620,2178,3282,3713
Dividends Paid,-45494,-45494,-43090,-40710,-36051
Other financing activites,-16264,-16264,-,-,-
Net cash used privided by (used for) financing activities,-60138,-60138,-40912,-37428,-32338
Net change in cash,-13399,-13399,2554,18102,42685
Cash at beginning of period,80777,80777,78193,60066,17554
Cash at end of period,67414,67414,80777,78193,60066
Capital Expenditure,-19178,-19178,-21591,-14004,-18276
Free Cash Flow,60330,60330,44129,55524,67708
