Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2123,-3522,-3592,-5887,-4021
Sales/Maturities of investments,-,294.81,228,310.091,238.45
Other investing activites,-8.784,-6.62,359.505,-,-
Net cash used for investing activites,-1829,-3226,-2993,-5568,-3771
Common stock issued,6000,6000,4740,7130,5000
Common stock repurchased,-327.796,-382.348,-293.732,-329.711,-393.502
Net cash used privided by (used for) financing activities,5672,5617,4446,6801,4607
Net change in cash,958.355,118.439,-286.785,-202.666,-44.228
Cash at beginning of period,1283,1788,2140,2359,2490
Cash at end of period,2241,1907,1788,2140,2359
Capital Expenditure,-2123,-3522,-3592,-5887,-4021
Free Cash Flow,-5007,-5795,-5332,-7321,-4901
