Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-8.884,-8.002,-19.868,-7.138,-138.242
Acquisitions net,-,-,-,-,53.016
Other investing activites,-,-,1500,-1500,-
Net cash used for investing activites,-708.674,-8.002,1480,-1507,-71.59
Debt repayment,-,-,-,-181.372,-150
Common stock issued,-,-,-,2500,-
Common stock repurchased,-,-,-,-129.429,-
Other financing activites,-,-,-,-,-4.683
Net cash used privided by (used for) financing activities,-,-,-,2189,-154.683
Net change in cash,-13.272,-103.467,-465.373,408.869,-1121
Cash at beginning of period,156.437,280.819,746.192,496.033,1617
Cash at end of period,143.165,177.352,280.819,904.902,496.033
Capital Expenditure,-8.884,-8.002,-19.868,-7.138,-138.242
Free Cash Flow,686.518,-103.467,-1965,-280.33,-1033
