Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-,-,-,-100,-
Other investing activites,-515.5,-505,-68,-4,2.692
Net cash used for investing activites,-615.5,-505,-68,-104,2.692
Debt repayment,-134,-130,-103,-120,-
Common stock issued,781.058,1113,492.778,1244,69
Net cash used privided by (used for) financing activities,647.058,982.529,389.778,1124,229
Net change in cash,-541.265,-9.898,-166.444,502.01,13.086
Cash at beginning of period,752.658,447.214,613.658,111.648,98.562
Cash at end of period,211.393,437.316,447.214,613.658,111.648
Free Cash Flow,-572.823,-487.427,-488.222,-517.68,-218.606
