Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1616,-1515,-4008,-1350,-
Acquisitions net,-,-,-,-3421,-
Purchases of investments,-,-,-,-,-1061
Sales/Maturities of investments,-,-,-,731.631,50.791
Other investing activites,-,-,-400,-,-260
Net cash used for investing activites,-1634,-1470,-4390,-4019,-1270
Debt repayment,-,-,-,-913.52,-
Common stock issued,-,4695,12036,8886,914
Common stock repurchased,-,-310.959,-544.874,-220.481,-32.614
Net cash used privided by (used for) financing activities,5939,5738,12936,9302,1566
Net change in cash,-2629,-3043,3689,769.365,50.082
Cash at beginning of period,3893,4604,933.822,167.527,117.445
Cash at end of period,1264,1561,4604,933.822,167.527
Capital Expenditure,-1616,-1515,-4008,-1350,-
Free Cash Flow,-8550,-8827,-8865,-5864,-245.506
