Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-17332,-17332,-13504,-11305
Net cash used for investing activites,-17332,-17332,-13504,-11305
Debt repayment,-12445,-12445,-,-66224
Common stock issued,166237,166237,-,114580
Common stock repurchased,-3994,-3994,-,-
Dividends Paid,-20996,-20996,-19282,-
Other financing activites,-,-,-,-75965
Net cash used privided by (used for) financing activities,128228,128228,-13521,-15300
Net change in cash,157369,157369,19193,-10729
Cash at beginning of period,36941,36941,17071,29113
Cash at end of period,194797,194797,36941,17071
Capital Expenditure,-17332,-17332,-13504,-11305
Free Cash Flow,29141,29141,32714,4571
