Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-203.909,-621.758,-1452,-1209,-387.455
Other investing activites,-,-35.48,-21.222,0.018,0.306
Net cash used for investing activites,-239.389,-657.238,-1473,-1209,-387.149
Debt repayment,-,-,-,-,-24.844
Common stock issued,506.92,780.968,750.356,3747,1023
Common stock repurchased,-8.397,-59.977,-19.043,-46.808,-152.049
Net cash used privided by (used for) financing activities,498.523,1171,1981,3700,996.177
Net change in cash,-148.175,-242.503,-549.446,712.037,205.813
Cash at beginning of period,314.622,372.98,922.426,210.389,4.576
Cash at end of period,166.447,130.477,372.98,922.426,210.389
Capital Expenditure,-203.909,-621.758,-1452,-1209,-387.455
Free Cash Flow,-611.218,-1378,-2510,-2988,-790.67
