Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4655,-4499,-395.583,-267.487,-547.97
Sales/Maturities of investments,-,6.648,7.21,-,-
Net cash used for investing activites,-4649,-4492,-388.373,-267.487,-547.97
Common stock issued,7687,8256,2732,5137,1572
Common stock repurchased,-313.525,-357.678,-167.757,-247.323,-133.051
Net cash used privided by (used for) financing activities,7374,7898,2565,4889,1939
Net change in cash,-1502,-19.432,34.905,1794,-222.794
Cash at beginning of period,5483,2262,2216,446.405,650.271
Cash at end of period,3980,2220,2262,2216,446.405
Capital Expenditure,-4655,-4499,-395.583,-267.487,-547.97
Free Cash Flow,-8883,-7924,-2537,-3096,-2161
