Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-28384,-28384,-7456,-4393,-
Purchases of investments,-,-,-,-67.006,-
Net cash used for investing activites,-28384,-28384,-5946,-4460,-
Debt repayment,-244.601,-244.601,-,-,-
Common stock issued,12700,12700,28357,2650,27.28
Common stock repurchased,-930.694,-930.694,-1303,-243.584,-
Net cash used privided by (used for) financing activities,12588,12588,27054,2407,27.28
Net change in cash,-17922,-17922,19244,-3624,-1222
Cash at beginning of period,21471,21471,2394,6416,7632
Cash at end of period,3662,3662,21471,2394,6416
Capital Expenditure,-28384,-28384,-7456,-4393,-
Free Cash Flow,-30510,-30510,-9320,-5964,-1249
