Breakdown,ttm,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1133,-645.251,-13.531,-71.994
Acquisitions net,-,-164.746,-,-
Purchases of investments,-,-,-,-87.497
Sales/Maturities of investments,-,-,-,9000
Other investing activites,-,5042,-4869,-
Net cash used for investing activites,2871,4235,-4868,8841
Common stock issued,1962,3562,8067,14083
Common stock repurchased,-110.097,-136.531,-473.033,-742.571
Other financing activites,-,-,106.504,99.432
Net cash used privided by (used for) financing activities,1852,3426,7700,11139
Net change in cash,-853.148,3363,-7506,7255
Cash at beginning of period,2349,1325,8880,1810
Cash at end of period,1496,4472,1325,8880
Capital Expenditure,-1133,-645.251,-13.531,-71.994
Free Cash Flow,-6710,-4943,-10352,-12797
