Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-261609,-261609,-
Acquisitions net,-761132,-,-761132
Purchases of investments,-13869,-1533,-13869
Sales/Maturities of investments,2044,687.9817,2044
Other investing activites,-171337,-261609,-171337
Net cash used for investing activites,-944201,-262247,-944201
Debt repayment,-1155792,-212080,-1155792
Common stock issued,626685,-,626685
Dividends Paid,-993528,-993528,-
Other financing activites,85911,-29408,85911
Net cash used privided by (used for) financing activities,577040,-558134,577040
Net change in cash,149633,-138928,149633
Cash at beginning of period,39769,178249,39769
Cash at end of period,176935,37900,176935
Capital Expenditure,-261609,-261609,-
Free Cash Flow,516794,419844,516794
