Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-192500,-192500,-143500,-155300,-153500
Acquisitions net,-44200,-44200,-582300,-31700,-16100
Purchases of investments,-1500,-1500,-7800,-,-
Sales/Maturities of investments,6100,6100,-,-,-
Other investing activites,400,400,-113900,-,-
Net cash used for investing activites,-216500,-216500,-838600,-183800,-162800
Debt repayment,-154000,-154000,-824400,-58700,-16000
Common stock issued,-,-,590400,-,-
Common stock repurchased,-,-,-,-,-600
Dividends Paid,-55000,-55000,-33000,-23600,-21000
Other financing activites,-16400,-16400,-18600,-600,-
Net cash used privided by (used for) financing activities,-130100,-130100,599400,-10900,-16600
Net change in cash,4200,4200,-18000,-5100,11300
Cash at beginning of period,52000,52000,43200,48300,37000
Cash at end of period,56200,56200,52000,43200,48300
Capital Expenditure,-192500,-192500,-143500,-155300,-153500
Free Cash Flow,158300,158300,77700,34300,37200
