Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-670.754,-736.264,-617.216,-7.305
Purchases of investments,-,-,-,-881.778
Sales/Maturities of investments,-,-44.264,12.04,-
Other investing activites,-,-,-,-12.04
Net cash used for investing activites,-1370,-774.36,-589.814,-844.766
Debt repayment,-450,-2541,-105,-700
Common stock issued,8465,3111,150,6228
Net cash used privided by (used for) financing activities,8207,3970,2579,6228
Net change in cash,3199,-34.298,-1901,965.564
Cash at beginning of period,530.805,803.421,2705,1746
Cash at end of period,3730,769.21,803.421,2705
Capital Expenditure,-670.754,-736.264,-617.216,-7.305
Free Cash Flow,-4308,-3967,-4508,-4425
