Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-54.015,-2.385,-2.996,-24.301,-1344
Acquisitions net,-,-,-,-49.979,-
Other investing activites,-,460,-,-,-
Net cash used for investing activites,152.171,582.615,-2.996,2226,-1333
Common stock issued,-,-,12.099,2317,525.992
Common stock repurchased,-,-,-3.676,-148.127,-45.885
Other financing activites,48.583,23.058,-2,-,24.66
Net cash used privided by (used for) financing activities,971.145,23.058,6.423,2169,504.767
Net change in cash,-98.88,12.501,-2135,2119,-1191
Cash at beginning of period,770.308,499.089,2634,514.957,1706
Cash at end of period,671.428,511.59,499.089,2634,514.957
Capital Expenditure,-54.015,-2.385,-2.996,-24.301,-1344
Free Cash Flow,-1276,-595.557,-2142,-2300,-1706
