Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1884,-271.409,-,-3.015,-
Sales/Maturities of investments,-,16.987,-,-,541.539
Net cash used for investing activites,-1867,-254.422,-,-3.015,644.474
Common stock issued,-,377.739,445.311,330.034,132.799
Net cash used privided by (used for) financing activities,-,977.739,445.311,330.034,132.799
Net change in cash,1015,297.515,185.112,-122.992,185.809
Cash at beginning of period,104.031,350.451,165.339,288.331,102.522
Cash at end of period,1119,647.966,350.451,165.339,288.331
Capital Expenditure,-1884,-271.409,-,-3.015,-
Free Cash Flow,-2424,-697.211,-260.199,-453.026,-591.464
