Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,6/30/2016
Investments in property plant and equipment,-46.885,-46.885,-497.384,-511.102,-,-108.082
Purchases of investments,-,-,-,-,-9.134,-
Other investing activites,-,-,-,-295.114,-,-15
Net cash used for investing activites,-46.885,-46.885,-497.384,-511.102,-9.134,-123.082
Debt repayment,-,-,-,-295.116,-,-
Common stock issued,-,-,-,4498,-,864.927
Other financing activites,-,-,-,-,4958,-30.035
Net cash used privided by (used for) financing activities,-,-,-,4203,5250,839.092
Net change in cash,-2063,-2063,-1475,-376.384,5323,22.855
Cash at beginning of period,3487,3487,4962,5339,15.775,3.152
Cash at end of period,1424,1424,3487,4962,5338,26.007
Capital Expenditure,-46.885,-46.885,-497.384,-511.102,-,-108.082
Free Cash Flow,-2063,-2063,-1475,-4580,81.66,-801.237
