Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1,-1,-11,-,-
Purchases of investments,-157,-157,-311,-277,-
Sales/Maturities of investments,-,-,-,-,3928
Other investing activites,2233,2233,-5973,-2957,2139
Net cash used for investing activites,2075,2075,-4934,-3234,6070
Debt repayment,-2517,-2517,-14800,-707,-103684
Net cash used privided by (used for) financing activities,-517,-517,-10631,29327,-32219
Net change in cash,-577,-577,1118,-568,-14841
Cash at beginning of period,1413,1413,295,863,15704
Cash at end of period,836,836,1413,295,863
Capital Expenditure,-1,-1,-11,-,-
Free Cash Flow,-2136,-2136,16672,-26661,11308
