Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-102.204,-47.008,-10.023,-123.437,-
Acquisitions net,-,-,-,45.214,-
Net cash used for investing activites,-102.204,-47.008,-10.023,-78.223,1200
Debt repayment,-,-,-,-,-375.472
Common stock issued,2177,1106,-2.796,3801,-
Net cash used privided by (used for) financing activities,2177,1106,-2.796,3801,-375.472
Net change in cash,778.234,-129.83,-1414,2298,231.833
Cash at beginning of period,814.138,1019,2433,135.626,148.704
Cash at end of period,1592,889.285,1019,2433,380.537
Capital Expenditure,-102.204,-47.008,-10.023,-123.437,-
Free Cash Flow,-1399,-1236,-1412,-1548,-592.695
