Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-355,-1147,-231,-199,-24511
Acquisitions net,-33000,-,-1200,-800,-
Purchases of investments,-1000,-1000,-,-,-
Other investing activites,-,-32213,-,-,-
Net cash used for investing activites,-33569,-34360,-1431,-999,-24511
Debt repayment,-,-5000,-9000,-9000,-13000
Dividends Paid,-13184,-11865,-13183,-13183,-11206
Other financing activites,-,-,4000,-,-
Net cash used privided by (used for) financing activities,16816,20135,-18183,-22183,7794
Net change in cash,-820,752,-2740,704,-207
Cash at beginning of period,9247,8128,10868,10164,10371
Cash at end of period,8427,8880,8128,10868,10164
Capital Expenditure,-355,-1147,-231,-199,-24511
Free Cash Flow,15578,13830,16643,23687,-8001
