Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-,-,-481.681,-560.906
Purchases of investments,-,-,-1020,-10
Sales/Maturities of investments,-,1020,-,-
Net cash used for investing activites,-,1020,-1502,-570.906
Debt repayment,-,-118.075,-,-
Common stock issued,-,2544,-,6297
Common stock repurchased,-,-37.636,-,-278.09
Net cash used privided by (used for) financing activities,-,2388,-,6019
Net change in cash,200.597,1209,-1905,4569
Cash at beginning of period,2115,2703,4608,38.776
Cash at end of period,2316,3947,2703,4608
Capital Expenditure,-,-,-481.681,-560.906
Free Cash Flow,-3181,-2199,-884.859,-1440
