Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-3460,-4752,-7607
Acquisitions net,1125,-20403,-486.919
Purchases of investments,-30399,-28475,-18.168
Other investing activites,392,1969,-10000
Net cash used for investing activites,-29626,-49011,-13339
Debt repayment,-,-,-78000
Common stock issued,-,-,136260
Common stock repurchased,-,-8220,-
Dividends Paid,-17750,-24628,-13841
Net cash used privided by (used for) financing activities,-13737,-17848,54420
Net change in cash,-18127,-44054,55454
Cash at beginning of period,52479,89147,33543
Cash at end of period,34352,45252,89147
Capital Expenditure,-3460,-4752,-7607
Free Cash Flow,21776,18053,6766
