Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-13110,-10434,-10473,-3072
Acquisitions net,-,-13716,-17564,-1046
Other investing activites,-641,2874,-,-
Net cash used for investing activites,-22589,-21276,-27772,-4087
Common stock issued,-,-2441,46023,26200
Common stock repurchased,-,-51,-2975,-2084
Net cash used privided by (used for) financing activities,-,-2492,43048,24116
Net change in cash,23621,-18297,19394,23584
Cash at beginning of period,15326,45995,26601,3017
Cash at end of period,38947,27698,45995,26601
Capital Expenditure,-13110,-10434,-10473,-3072
Free Cash Flow,-9948,-4963,-6355,483
