Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-2.727,-435.74,-559.183,-1019
Purchases of investments,-8.871,-3.636,-,-,-4
Sales/Maturities of investments,-,-,0.492,66.523,-
Other investing activites,-373.66,1775,271.304,-,146.128
Net cash used for investing activites,-192.139,1769,-163.944,-492.66,-876.697
Debt repayment,-401.415,-148.265,-5842,-90.96,-31.766
Common stock issued,3511,503.335,11099,457.507,-
Net cash used privided by (used for) financing activities,5414,2632,10388,4393,-31.766
Net change in cash,619.948,-669.343,2820,165.943,-2089
Cash at beginning of period,2482,3203,383.846,257.458,2347
Cash at end of period,3102,2534,3203,423.401,257.458
Capital Expenditure,-,-2.727,-435.74,-559.183,-1019
Free Cash Flow,-4635,-5073,-7840,-4294,-2200
