Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-51.942,-63.329,-32.34,-22.947
Purchases of investments,-,-,-,-21.134,-
Net cash used for investing activites,-,-51.942,-63.329,-53.474,-22.947
Common stock issued,-,-,-,-,321.998
Common stock repurchased,-,-,-,-22.2,-29.814
Net cash used privided by (used for) financing activities,-,-,-,-22.2,292.184
Net change in cash,-147.079,-147.138,-144.612,-177.347,141.858
Cash at beginning of period,224.77,287.052,431.664,609.011,467.153
Cash at end of period,77.691,139.914,287.052,431.664,609.011
Capital Expenditure,-,-51.942,-63.329,-32.34,-22.947
Free Cash Flow,-147.079,-147.138,-144.612,-134.013,-150.326
