Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-22.432,-30.205,-118.196,-24.887,-51.533
Sales/Maturities of investments,-,-,-,-,4.1
Net cash used for investing activites,-22.432,-30.205,-118.196,-24.887,-47.433
Common stock issued,-,-,-,1216,570.742
Common stock repurchased,-,-,-1.838,-12.621,-4.51
Net cash used privided by (used for) financing activities,-,-,-1.838,1203,566.232
Net change in cash,-15.139,-329.425,-568.504,824.986,199.742
Cash at beginning of period,481.228,687.894,1256,431.412,231.67
Cash at end of period,466.089,358.469,687.894,1256,431.412
Capital Expenditure,-22.432,-30.205,-118.196,-24.887,-51.533
Free Cash Flow,-260.343,-329.425,-566.666,-378.143,-370.59
