Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-63.813,-130.474,-709.555,-149.797
Purchases of investments,-,-,-281.6,-828,-
Sales/Maturities of investments,-,346.594,850,-,400
Other investing activites,-,313.591,-,-,-545.145
Net cash used for investing activites,644.184,800.372,449.963,-1536,-289.442
Debt repayment,-,-500,-7352,-52.932,-270
Common stock issued,1252,1336,-,2876,825
Common stock repurchased,-68.325,-31.244,-17.5,-266.595,-24.395
Net cash used privided by (used for) financing activities,1210,1305,-6924,3106,800.605
Net change in cash,148.141,-114.76,622.615,119.619,146.759
Cash at beginning of period,1104,1008,385.447,265.828,119.069
Cash at end of period,1252,893.302,1008,385.447,265.828
Capital Expenditure,-,-63.813,-130.474,-709.555,-149.797
Free Cash Flow,-1706,-2284,6966,-2161,-514.201
