Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-42.265,-94.157,-108.749,-
Acquisitions net,-,-,-,3.363,-
Purchases of investments,-,-,-15000,-,-
Sales/Maturities of investments,-,15000,-,-,-
Net cash used for investing activites,13557,14958,-15094,-105.386,-3.443
Common stock issued,-,-,18920,4157,1226
Net cash used privided by (used for) financing activities,-,-,18920,4157,1226
Net change in cash,9742,8189,243.027,2919,-129.854
Cash at beginning of period,700.467,3214,2971,52.726,182.58
Cash at end of period,10442,11397,3214,2971,52.726
Capital Expenditure,-,-42.265,-94.157,-108.749,-
Free Cash Flow,-3812,-6811,-3677,-1242,-1352
