Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-3629,-3565,-5630,-1872
Acquisitions net,-,-,-9892,-21678
Sales/Maturities of investments,-,-,-,1628
Other investing activites,-,-6580,-203,-
Net cash used for investing activites,-10277,-4158,-15625,-21818
Debt repayment,-65188,-69188,-105400,-224005
Common stock issued,-,-,-,655
Common stock repurchased,-,-8,-15,-12
Dividends Paid,-,-3133,-7868,-8677
Net cash used privided by (used for) financing activities,18879,16507,2576,-35042
Net change in cash,29942,19912,1267,-34529
Cash at beginning of period,4091,5362,4095,38624
Cash at end of period,34033,25274,5362,4095
Capital Expenditure,-3629,-3565,-5630,-1872
Free Cash Flow,17711,3998,8686,20459
