Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4635,-4633,-179.482,-76.704,-131.654
Other investing activites,-,-,-,-,-0.674
Net cash used for investing activites,-3439,-3421,-149.493,-65.855,-127.161
Debt repayment,-,-48.993,-,-,-
Common stock issued,4706,6092,1600,2229,568.303
Common stock repurchased,-,-447.824,-103.756,-112.444,-18.867
Net cash used privided by (used for) financing activities,5082,6296,1496,2117,549.436
Net change in cash,582.443,1914,593.709,1470,-146.156
Cash at beginning of period,1594,2484,1893,423.895,568.5
Cash at end of period,2177,4355,2484,1893,423.895
Capital Expenditure,-4635,-4633,-179.482,-76.704,-131.654
Free Cash Flow,-5695,-5594,-932.524,-657.54,-700.085
