Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-,-132.799,-,-
Acquisitions net,-60,-60,-,-,-
Purchases of investments,-180,-180,-,-,-
Net cash used for investing activites,-240,-240,-132.799,-,-
Debt repayment,-15.655,-15.655,-11.525,-,-
Common stock issued,927.5,927.5,6216,-,390
Common stock repurchased,-58.117,-58.117,-404.04,-,-3
Other financing activites,-,-,43.907,-,-
Net cash used privided by (used for) financing activities,853.728,853.728,5872,290,387
Net change in cash,-2175,-2175,2915,263.894,-137.12
Cash at beginning of period,3219,3219,303.771,39.877,176.997
Cash at end of period,1044,1044,3219,303.771,39.877
Capital Expenditure,-,-,-132.799,-,-
Free Cash Flow,-2789,-2789,-2956,-26.106,-524.12
