Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1194,-1194,-1399,-1025,-398.478
Acquisitions net,-5362,-5362,-310.791,-3608,-1152
Purchases of investments,-2361,-2361,-1960,-1387,-13063
Sales/Maturities of investments,-,-,18.933,4957,-
Other investing activites,-,-,1315,2506,-
Net cash used for investing activites,-8014,-8014,-2475,1694,-10558
Debt repayment,-,-,-147.4,-393.809,-
Common stock issued,5238,5238,14402,-,32600
Common stock repurchased,-90.959,-90.959,-1059,-41.121,-2085
Other financing activites,81.006,81.006,973.98,-363.598,-1002
Net cash used privided by (used for) financing activities,5221,5221,14747,-798.528,29513
Net change in cash,-6884,-6884,6006,-6113,13904
Cash at beginning of period,19273,19273,12751,20116,5413
Cash at end of period,12410,12410,19273,12751,20116
Capital Expenditure,-1194,-1194,-1399,-1025,-398.478
Free Cash Flow,-5285,-5285,-7664,-8034,-5449
