Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-153.842,-,-40.36,-47.703
Sales/Maturities of investments,-,-,377.253,1.5,-
Other investing activites,-,-,0,-,-
Net cash used for investing activites,-,-153.842,377.253,-38.86,2.297
Debt repayment,-,-,-,-32.727,-50
Common stock issued,-,1128,1251,662.5,-
Other financing activites,-,-,-,-968.131,968.131
Net cash used privided by (used for) financing activities,-,1128,1251,-305.631,1371
Net change in cash,532.469,-133.641,471.793,-635.619,780.709
Cash at beginning of period,42.126,894.442,422.649,1058,277.559
Cash at end of period,574.595,760.801,894.442,422.649,1058
Capital Expenditure,-,-153.842,-,-40.36,-47.703
Free Cash Flow,-637.316,-1262,-1156,-331.488,-639.994
